,,Temp,Hi,Low,Out,Dew,Wind,Wind,Wind,Hi,Hi,Wind,Heat,THW,THSW,,,Rain,Solar,Solar,Hi Solar,UV ,UV ,Hi ,Heat,Cool,In ,In,In ,In ,In ,In Air,,Wind,Wind,ISS ,Arc.
Date,Time,Out,Temp,Temp,Hum,Pt.,Speed,Dir,Run,Speed,Dir,Chill,Index,Index,Index,Bar  ,Rain,Rate,Rad.,Energy,Rad. ,Index,Dose,UV ,D-D ,D-D ,Temp,Hum,Dew,Heat,EMC,Density,ET ,Samp,Tx ,Recept,Int.
5/13/2024,5:15 PM,20.8,20.8,20.8,53,10.8,0,---,0,0,---,20.8,20.1,20.1,18.9,764.8,0,0,0,0,0,---,---,---,0,0.008,23.2,44,10.2,22.7,8.28,1.1848,0,10,1,8.8,5
5/13/2024,5:20 PM,20.8,20.8,20.8,53,10.8,0,---,0,0,---,20.8,20.1,20.1,18.9,764.7,0,0,0,0,0,---,---,---,0,0.008,23.1,44,10.2,22.6,8.28,1.1849,0,117,1,100,5
5/13/2024,5:25 PM,20.7,20.8,20.7,53,10.8,0,---,0,0,---,20.7,20.1,20.1,18.9,764.6,0,0,0,0,0,---,---,---,0,0.008,23,45,10.4,22.6,8.45,1.185,0,117,1,100,5
5/13/2024,5:30 PM,20.7,20.7,20.7,53,10.8,0,---,0,0,---,20.7,20.1,20.1,18.9,764.7,0,0,0,0,0,---,---,---,0,0.008,22.9,45,10.3,22.4,8.45,1.1856,0,117,1,100,5
5/13/2024,5:35 PM,20.7,20.7,20.7,53,10.8,0,---,0,0,---,20.7,20.1,20.1,18.9,764.8,0,0,0,0,0,---,---,---,0,0.008,22.8,45,10.3,22.3,8.45,1.186,0,115,1,100,5
5/13/2024,5:40 PM,20.7,20.7,20.7,53,10.7,0,---,0,0,---,20.7,20,20,18.8,764.7,0,0,0,0,0,---,---,---,0,0.008,22.8,45,10.3,22.3,8.45,1.1859,0,117,1,100,5
5/13/2024,5:45 PM,20.7,20.7,20.7,53,10.7,0,---,0,0,---,20.7,20,20,18.8,764.7,0,0,0,0,0,---,---,---,0,0.008,22.8,45,10.3,22.3,8.45,1.1858,0,115,1,100,5
5/13/2024,5:15 PM,20.8,20.8,20.8,53,10.8,0,---,0,0,---,20.8,20.1,20.1,18.9,764.8,0,0,0,0,0,---,---,---,0,0.008,23.2,44,10.2,22.7,8.28,1.1848,0,10,1,8.8,5
5/13/2024,5:20 PM,20.8,20.8,20.8,53,10.8,0,---,0,0,---,20.8,20.1,20.1,18.9,764.7,0,0,0,0,0,---,---,---,0,0.008,23.1,44,10.2,22.6,8.28,1.1849,0,117,1,100,5
5/13/2024,5:25 PM,20.7,20.8,20.7,53,10.8,0,---,0,0,---,20.7,20.1,20.1,18.9,764.6,0,0,0,0,0,---,---,---,0,0.008,23,45,10.4,22.6,8.45,1.185,0,117,1,100,5
5/13/2024,5:30 PM,20.7,20.7,20.7,53,10.8,0,---,0,0,---,20.7,20.1,20.1,18.9,764.7,0,0,0,0,0,---,---,---,0,0.008,22.9,45,10.3,22.4,8.45,1.1856,0,117,1,100,5
5/13/2024,5:35 PM,20.7,20.7,20.7,53,10.8,0,---,0,0,---,20.7,20.1,20.1,18.9,764.8,0,0,0,0,0,---,---,---,0,0.008,22.8,45,10.3,22.3,8.45,1.186,0,115,1,100,5
5/13/2024,5:40 PM,20.7,20.7,20.7,53,10.7,0,---,0,0,---,20.7,20,20,18.8,764.7,0,0,0,0,0,---,---,---,0,0.008,22.8,45,10.3,22.3,8.45,1.1859,0,117,1,100,5
5/13/2024,5:45 PM,20.7,20.7,20.7,53,10.7,0,---,0,0,---,20.7,20,20,18.8,764.7,0,0,0,0,0,---,---,---,0,0.008,22.8,45,10.3,22.3,8.45,1.1858,0,115,1,100,5
5/13/2024,5:15 PM,20.8,20.8,20.8,53,10.8,0,---,0,0,---,20.8,20.1,20.1,18.9,764.8,0,0,0,0,0,---,---,---,0,0.008,23.2,44,10.2,22.7,8.28,1.1848,0,10,1,8.8,5
5/13/2024,5:20 PM,20.8,20.8,20.8,53,10.8,0,---,0,0,---,20.8,20.1,20.1,18.9,764.7,0,0,0,0,0,---,---,---,0,0.008,23.1,44,10.2,22.6,8.28,1.1849,0,117,1,100,5
5/13/2024,5:25 PM,20.7,20.8,20.7,53,10.8,0,---,0,0,---,20.7,20.1,20.1,18.9,764.6,0,0,0,0,0,---,---,---,0,0.008,23,45,10.4,22.6,8.45,1.185,0,117,1,100,5
5/13/2024,5:30 PM,20.7,20.7,20.7,53,10.8,0,---,0,0,---,20.7,20.1,20.1,18.9,764.7,0,0,0,0,0,---,---,---,0,0.008,22.9,45,10.3,22.4,8.45,1.1856,0,117,1,100,5
5/13/2024,5:35 PM,20.7,20.7,20.7,53,10.8,0,---,0,0,---,20.7,20.1,20.1,18.9,764.8,0,0,0,0,0,---,---,---,0,0.008,22.8,45,10.3,22.3,8.45,1.186,0,115,1,100,5
5/13/2024,5:40 PM,20.7,20.7,20.7,53,10.7,0,---,0,0,---,20.7,20,20,18.8,764.7,0,0,0,0,0,---,---,---,0,0.008,22.8,45,10.3,22.3,8.45,1.1859,0,117,1,100,5
5/13/2024,5:45 PM,20.7,20.7,20.7,53,10.7,0,---,0,0,---,20.7,20,20,18.8,764.7,0,0,0,0,0,---,---,---,0,0.008,22.8,45,10.3,22.3,8.45,1.1858,0,115,1,100,5
